year,region,gender,year_born,education_tier,marriage_tier,income_tier,occupation_code
2005,1,1,1962,2,1,2,51
2006,1,1,1962,2,1,2,51
2007,1,1,1962,2,1,2,51
2008,1,1,1962,2,1,2,53
2009,1,1,1962,2,1,2,53
2010,1,1,1962,2,1,2,53
2011,1,1,1962,2,1,2,53
2012,1,1,1962,2,1,2,53
2013,1,1,1962,2,1,2,53
2014,1,1,1962,2,1,2,53
2015,1,1,1962,2,1,3,53
2016,1,1,1962,2,1,3,53
2017,1,1,1962,2,1,3,53
2018,1,1,1962,2,1,3,85
2013,1,1,1962,2,0,1,99
2014,1,1,1962,2,0,1,99
2007,1,1,1978,3,1,2,31
2008,1,1,1978,3,1,2,31
2009,1,1,1978,3,1,2,31
2010,1,1,1978,3,1,3,31
2011,1,1,1978,3,1,3,31
2012,1,1,1978,3,1,2,31
2013,1,1,1978,3,1,3,31
2014,1,1,1978,3,1,3,31
2015,1,1,1978,3,1,3,31
2016,1,1,1978,3,1,3,31
2017,1,1,1978,3,1,3,31
2018,1,1,1978,3,1,3,31
2005,1,1,1964,1,0,1,51
2008,1,1,1964,1,0,1,53
2009,1,1,1964,1,0,1,53
2010,1,1,1964,1,0,1,53
2011,1,1,1964,1,0,1,53
2012,1,1,1964,1,0,1,52
2013,1,1,1964,1,0,1,53
2014,1,1,1964,1,0,2,53
2015,1,1,1964,1,0,2,53
2016,1,1,1964,1,0,2,53
2017,1,1,1964,1,0,2,53
2005,1,1,1975,3,0,2,41
2006,1,1,1975,3,0,2,41
2007,1,1,1975,3,0,3,41
2008,1,1,1975,3,0,3,52
2009,1,1,1975,3,0,3,31
2010,1,1,1975,3,0,3,31
2011,1,1,1975,3,0,3,31
2012,1,1,1975,3,0,3,24
2013,1,1,1975,3,0,2,24
2014,1,1,1975,3,0,3,28
2015,1,1,1975,3,0,3,28
2016,1,1,1975,3,0,2,28
2017,1,1,1975,3,0,2,52
2018,1,1,1975,3,0,2,52
2013,1,1,1978,2,1,2,52
2014,1,1,1978,2,1,2,52
2015,1,1,1978,2,1,3,15
2016,1,1,1978,2,1,3,15
2017,1,1,1978,2,1,3,15
2018,1,1,1978,2,1,3,15
2011,1,1,1961,2,1,3,77
2012,1,1,1961,2,1,2,77
2013,1,1,1961,2,1,3,77
2014,1,1,1961,2,1,3,77
2016,1,1,1961,2,1,3,77
2017,1,1,1961,2,1,4,77
2018,1,1,1961,2,1,3,78
2016,1,1,1984,3,1,2,52
2017,1,1,1984,3,1,3,52
2018,1,1,1984,3,1,2,53
2005,1,1,1975,3,1,2,73
2006,1,1,1975,3,1,2,73
2005,1,1,1968,2,0,2,91
2006,1,1,1968,2,0,2,91
2007,1,1,1968,2,0,3,91
2008,1,1,1968,2,0,2,92
2009,1,1,1968,2,0,2,31
2010,1,1,1968,2,0,2,31
2013,1,1,1968,2,0,1,27
2014,7,1,1968,2,0,2,27
2015,7,1,1971,3,0,2,87
2016,7,1,1971,3,0,2,87
2018,7,1,1971,3,0,2,87
2010,7,1,1971,3,0,2,87
2011,7,1,1971,3,1,2,87
2012,7,1,1971,3,1,2,87
2013,7,1,1971,3,1,2,87
2014,7,1,1971,3,0,2,87
2005,1,1,1963,2,1,2,93
2006,1,1,1963,2,1,2,93
2007,1,1,1972,3,1,2,15
2005,1,1,1980,2,0,2,84
2006,1,1,1980,2,0,2,91
2007,1,1,1980,2,0,2,91
2008,1,1,1980,2,0,2,87
2009,1,1,1980,2,0,2,87
2010,1,1,1980,2,0,2,87
2005,1,1,1966,3,1,2,31
2006,1,1,1966,3,1,2,31
2007,1,1,1966,3,1,3,31
2008,1,1,1966,3,1,3,31
2009,1,1,1966,3,1,3,31
2010,1,1,1966,3,1,2,31
2011,1,1,1966,3,1,2,31
2012,1,1,1966,3,1,3,31
2013,1,1,1966,3,1,3,31
2014,1,1,1966,3,1,3,31
2005,1,1,1972,3,1,2,31
2006,1,1,1972,3,1,2,31
2007,1,1,1972,3,1,2,31
2008,1,1,1972,3,1,3,31
2009,1,1,1972,3,1,3,31
2010,1,1,1972,3,1,3,31
2011,1,1,1972,3,1,3,31
2012,1,1,1972,3,1,3,31
2013,1,1,1972,3,1,2,31
2014,1,1,1972,3,1,2,31
2015,1,1,1972,3,1,3,31
2016,1,1,1972,3,1,2,31
2017,1,1,1972,3,1,2,31
2018,1,1,1972,3,1,3,31
2008,1,1,1968,2,0,2,87
2011,1,1,1968,2,0,2,87
2012,1,1,1968,2,0,2,87
2015,1,1,1968,2,0,2,85
2016,1,1,1968,2,0,2,84
2017,1,1,1968,2,0,2,84
2018,1,1,1968,2,0,2,84
2010,2,1,1976,2,1,2,87
2011,2,1,1976,2,1,2,87
2012,2,1,1976,2,1,2,77
2013,2,1,1976,2,1,2,77
2014,2,1,1976,2,1,2,77
2015,2,1,1976,2,1,2,77
2016,2,1,1976,2,1,2,87
2017,2,1,1976,2,1,2,87
2018,2,1,1976,2,1,2,87
2005,1,1,1976,3,1,2,81
2006,1,1,1976,3,1,3,81
2007,1,1,1976,3,1,3,81
2005,1,1,1973,2,1,2,31
2006,1,1,1973,2,1,2,31
2007,1,1,1973,2,1,2,31
2008,1,1,1973,2,1,2,51
2009,1,1,1973,2,1,2,51
2010,1,1,1973,2,1,2,51
2011,1,1,1973,2,1,2,51
2012,1,1,1973,2,1,2,51
2013,1,1,1973,2,1,3,51
2014,1,1,1973,2,1,2,51
2015,1,1,1973,2,1,3,51
2016,1,1,1973,2,1,2,51
2017,1,1,1973,2,1,3,51
