year,region,gender,year_born,education_tier,marriage_tier,income_tier,occupation_code
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2011,5,2,1959,1,0,1,44
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2015,5,2,1959,1,0,1,95
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2011,5,1,1968,2,0,1,43
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2012,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2014,6,1,1966,2,0,1,91
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
2011,6,2,1962,1,0,1,94
